Value,F1,F2,F3,Alpha,Portfolio
TotalReturn,0.07993902853336055,0.026710835783391174,-0.01631718718235642,0.04644303819357676,0.10532667972875132
Return Attribution,0.06517280614688015,0.00017358190287438107,-0.007578621692838593,0.04755891337183544,0.10532667972875132
Vol Attribution,0.005012796084655276,-9.19256617865166e-6,0.0017847245024119626,0.005445186530229753,0.012233514551118338
