Value,F1,F2,F3,Alpha,Portfolio
TotalReturn,0.07993902853336121,0.026710835783390507,-0.01631718718235553,0.04644303819357609,0.10532667972875176
Return Attribution,0.06501968956207081,0.00015945880583690146,-0.0061305319706708005,0.04852860188327059,0.10757721828050752
Vol Attribution,0.00501279608465526,-9.192566178651327e-06,0.0017847245024119553,0.005445186530229747,0.012233514551118312
